sim_time,node,is_attacker,f1_pkt_rate,f2_mean_rate,f3_burst_ratio,f4_rate_change,f5_rate_trend,f6_flow_duration,f7_activity_ratio,f8_cell_zscore,f9_consecutive,f10_peak_rate
756.0,attacker[1],1,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.025
1133.0,attacker[2],1,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0
626.0,ue[3],0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.018
5.0,attacker[2],1,0.01,0.008667,0.057692,0.004,0.501333,0.013333,0.833333,0.0,0.166667,0.021
1307.0,attacker[1],1,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0
788.0,attacker[0],1,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.022
1406.0,attacker[2],1,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0
36.0,ue[4],0,0.008,0.0092,0.043478,0.003,0.49975,0.116667,1.0,0.0,1.0,0.019
916.0,attacker[2],1,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0
880.0,ue[4],0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0
1250.0,ue[0],0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0
1042.0,ue[3],0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0
519.0,ue[1],0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.022
126.0,ue[0],0,0.009,0.0104,0.043269,0.004,0.5,0.416667,1.0,0.0,1.0,0.018
292.0,attacker[1],1,0.023,0.0172,0.06686,0.007,0.50225,0.97,1.0,0.37125,1.0,0.029
223.0,attacker[2],1,0.018,0.0171,0.052632,0.003,0.499083,0.74,1.0,0.223039,1.0,0.025
1069.0,attacker[0],1,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0
1283.0,ue[2],0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0
401.0,ue[4],0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.019
43.0,ue[0],0,0.009,0.0118,0.038136,0.001,0.498583,0.14,1.0,0.0,1.0,0.018
273.0,ue[1],0,0.013,0.01,0.065,0.005,0.503917,0.906667,1.0,0.094868,1.0,0.022
874.0,ue[3],0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0
982.0,ue[1],0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0
1244.0,ue[3],0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0
959.0,attacker[2],1,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0
586.0,attacker[1],1,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.029
780.0,ue[3],0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.014
1440.0,attacker[0],1,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0
643.0,ue[3],0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.018
644.0,attacker[2],1,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.03
150.0,ue[0],0,0.01,0.0115,0.043478,0.002,0.499167,0.496667,1.0,0.0,1.0,0.018
18.0,attacker[1],1,0.011,0.0157,0.035032,0.001,0.497083,0.056667,0.947368,0.0,0.6,0.029
976.0,ue[4],0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0
167.0,attacker[1],1,0.014,0.0159,0.044025,0.001,0.498583,0.553333,1.0,0.13364,1.0,0.029
525.0,attacker[1],1,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.029
1191.0,attacker[2],1,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0
1018.0,ue[0],0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0
1339.0,attacker[0],1,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0
1237.0,attacker[2],1,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0
193.0,ue[1],0,0.009,0.0101,0.044554,0.002,0.499167,0.64,1.0,0.0,1.0,0.022
287.0,attacker[1],1,0.019,0.0165,0.057576,0.002,0.500333,0.953333,1.0,0.261898,1.0,0.029
1420.0,attacker[1],1,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0
114.0,ue[3],0,0.009,0.0095,0.047368,0.0,0.4995,0.376667,1.0,0.0,1.0,0.017
96.0,attacker[2],1,0.019,0.0154,0.061688,0.001,0.50325,0.316667,1.0,0.335423,1.0,0.025
1037.0,ue[4],0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0
332.0,ue[3],0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.018
687.0,ue[1],0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.018
1027.0,attacker[2],1,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0
910.0,ue[1],0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0
935.0,attacker[1],1,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0
806.0,ue[1],0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0
784.0,ue[0],0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.013
62.0,ue[2],0,0.017,0.0096,0.088542,0.008,0.501833,0.203333,1.0,0.193124,1.0,0.018
545.0,ue[3],0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.018
185.0,attacker[2],1,0.012,0.0176,0.034091,0.01,0.498833,0.613333,1.0,0.0,1.0,0.025
1083.0,ue[0],0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0
837.0,ue[2],0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0
60.0,ue[1],0,0.013,0.0093,0.069892,0.008,0.4995,0.196667,1.0,0.242779,1.0,0.022
317.0,attacker[0],1,0.0,0.0,0.0,0.0,0.5,1.0,0.233333,0.0,0.0,0.03
658.0,ue[1],0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.018
960.0,attacker[1],1,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0
31.0,attacker[2],1,0.016,0.0172,0.046512,0.001,0.498417,0.1,1.0,0.163557,1.0,0.024
769.0,ue[2],0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.013
